pl_name,pl_rade,pl_bmasse,pl_orbper,st_teff
"TOI-6109 b",4.87040000,,5.69047600000,5660.00
"Kepler-68 c",0.92700000,,9.60503867000,5789.00
"K2-389 c",2.04000000,,20.85133700000,5782.00
"TOI-3884 b",5.76059038,,4.54455690000,3192.00
"K2-392 b",1.85000000,,15.39872300000,5726.00
"HIP 41378 b",2.90000000,,15.57120000000,6199.00
"K2-19 c",3.88000000,11.12000000,11.89770000000,5350.00
"HD 28109 b",2.19900000,18.49600000,22.89104000000,6120.00
"Kepler-1991 b",1.26000000,,13.26084292000,5632.00
"HAT-P-16 b",14.44840100,1341.56043000,2.77597120000,6158.00
"Kepler-37 c",0.68000000,,21.30199109000,5374.00
"K2-334 b",5.67086336,,5.11383503556,6315.70
"Kepler-1992 b",0.91000000,,15.61122300000,5466.00
"K2-19 b",7.46000000,,7.91949790000,5368.00
"Kepler-138 c",1.33000000,,13.78109344000,3841.00
"Kepler-10 c",2.26000000,,45.29422297000,5676.00
"Kepler-865 c",0.90000000,,6.20925415000,5440.00
"TOI-5720 b",1.09000000,4.30000000,1.43445550000,3325.00
"Kepler-58 b",2.78000000,35.50000000,10.21849540000,5843.00
"EPIC 212587672 c",2.24459533,,23.22600100000,5928.00
"Kepler-2000 c",1.40000000,,20.61810660000,3769.00
"TOI-244 b",1.52000000,2.68000000,7.39722500000,3433.00
"LHS 475 b",0.97500000,,2.02910100000,3289.00
"K2-263 b",2.41000000,14.80000000,50.81894700000,5368.00
"Kepler-102 e",2.52000000,,16.14569077200,4812.00
"Kepler-1987 d",3.26500010,,5.64488983200,4769.00
"Kepler-763 d",1.58000000,,6.50323791000,5258.00
"Kepler-20 b",1.77300000,9.70000000,3.69610490000,5495.00
"Kepler-1997 b",2.51000000,,26.75758590000,6197.00
"HD 118203 b",13.13830000,,6.13497830000,5828.70
"Qatar-2 b",12.49803500,783.76878000,1.33711677000,
"HD 152843 b",3.41000000,11.56000000,11.62640000000,6310.00
"TOI-4641 b",8.18255591,1229.99593509,22.09341000000,6560.00
"Kepler-103 b",3.47600000,,15.96531600000,5895.00
"K2-333 b",5.73956170,,14.75650149447,5790.70
"Kepler-1801 c",3.43000000,,116.58261400000,5738.00
"Kepler-323 b",1.38100000,3.90000000,1.67832800000,6004.00
"Kepler-10 c",2.28000000,,45.29431717000,5627.00
"K2-268 e",1.33000000,,6.13124300000,5106.00
"K2-378 b",2.88000000,,2.06043800000,4823.00
"55 Cnc e",1.85600000,,0.73654300000,5272.00
"TOI-1338 b",6.85000000,33.00000000,95.17400000000,6050.00
"WASP-107 b",10.55000000,30.60000000,5.72147420000,4425.00
"Kepler-1487 c",3.02000000,,35.80228450000,6444.00
"K2-419 A b",11.30000000,,20.35919000000,
"TOI-4940 b",6.75553691,,25.86638689150,5418.70
"TOI-2374 b",6.81000000,56.64000000,4.31361000000,4802.00
"Kepler-9 b",8.85000000,2175.00000000,19.23800000000,
"Kepler-292 f",2.57000000,,20.83429470000,5282.00
"Kepler-187 b",1.45000000,,4.93886507000,6114.00
"Kepler-610 c",2.63000000,,151.86392000000,5713.00
"Kepler-1213 b",1.29000000,,5.34979100000,6074.00
"Kepler-1876 b",1.56000000,,6.99204200000,6095.00
"Kepler-1069 b",2.02000000,,23.89902960000,5790.00
"TOI-4914 b",12.60540000,,10.59887430000,5809.90
"TOI-1244 b",2.27303010,,6.40028074824,4599.00
"HAT-P-65 b",18.05766791,176.07693748,2.60544751000,5872.00
"Kepler-1487 b",5.05000000,,7.31945294000,5745.00
"K2-402 b",2.67800000,,17.27474000000,5716.00
"TOI-1798.01",2.38362109,,8.02155194258,5067.85
